30
Symbol  PPS     NS        TE
MMM     195.83  1498630   12393670.10
AXP     79.25   3458137   19158078.98
AAPL    143.65  33602943  279912515.19
BA      184.83  3516749   28556001.88
CAT     102.26  4512654   -1128163.50
CVX     106.7   4955462   -1337974.74
CSCO    34.07   13577289  26339940.66
KO      43.15   13208246  18755709.32
DIS     115.6   4963309   27496731.86
DD      79.75   1926806   5260180.38
XOM     81.65   8664074   16288459.12
GE      28.99   24015753  23535437.94
GS      223.8   3004791   56490070.80
HD      156.1   3152949   20336521.05
IBM     160.29  4935312   60013393.92
INTC    36.15   24825614  57347168.34
JNJ     123.47  4556360   27110342.00
JPM     87.0    15712266  102129729.00
MCD     139.93  3747202   21209163.32
MRK     62.33   10217078  14406079.98
MSFT    68.46   31954362  67743247.44
NKE     55.41   4881442   11715460.80
PFE     33.92   22685809  26542396.53
PG      87.33   4546624   24733634.56
TRV     121.66  1660802   16890356.34
UTX     118.99  2557568   16419586.56
UNH     174.88  2709907   21164373.67
VZ      45.91   14455200  43221048.00
V       91.22   9042079   18445841.16
WMT     75.18   6165912   27006694.56
